1750a						1750a-unknown-none
386bsd						i386-pc-bsd
580						580-unknown-none
a29k						a29k-unknown-none
a29khif						a29k-amd-udi
aarch64						aarch64-unknown-none
aarch64_be					aarch64_be-unknown-none
aarch64_be-bme					aarch64_be-unknown-bme
aarch64_be-elf					aarch64_be-unknown-elf
aarch64_be-linux				aarch64_be-unknown-linux-gnu
aarch64_be-unknown-elf				aarch64_be-unknown-elf
aarch64_be-unknown-linux			aarch64_be-unknown-linux-gnu
aarch64-bme					aarch64-unknown-bme
aarch64-elf					aarch64-unknown-elf
aarch64-linux					aarch64-unknown-linux-gnu
aarch64-unknown-elf				aarch64-unknown-elf
aarch64-unknown-linux				aarch64-unknown-linux-gnu
abacus						abacus-unknown-none
adobe68k					m68010-adobe-scout
alliant						fx80-alliant-none
alpha64						alpha64-unknown-none
alpha64ev4					alpha64ev4-unknown-none
alpha64ev56					alpha64ev56-unknown-none
alpha64ev67					alpha64ev67-unknown-none
alpha64pca56					alpha64pca56-unknown-none
alpha						alpha-unknown-none
alphaev4					alphaev4-unknown-none
alphaev56					alphaev56-unknown-none
alphaev67					alphaev67-unknown-none
alphapca56					alphapca56-unknown-none
altos3068					m68k-altos-sysv
altos						m68k-altos-sysv
am33_2.0					am33_2.0-unknown-none
amd64-cygwin					x86_64-pc-cygwin
amd64-kfreebsd5.4-gnu				x86_64-pc-kfreebsd5.4-gnu
amd64-midnightbsd0.7				x86_64-pc-midnightbsd0.7
amd64-onefs					x86_64-pc-onefs
amd64-unknown-freebsd5.2			x86_64-unknown-freebsd5.2
amd64						x86_64-pc-none
amdahl						580-amdahl-sysv
amiga						m68k-unknown-none
arc						arc-unknown-none
arceb						arceb-unknown-none
arceb-linux					arceb-unknown-linux-gnu
arc-linux					arc-unknown-linux-gnu
arm						arm-unknown-none
armbe						armbe-unknown-none
arm-cegcc					arm-unknown-cegcc
arm-coff					arm-unknown-coff
armeb-unknown-netbsdelf7.0			armeb-unknown-netbsdelf7.0
armel						armel-unknown-none
arm-elf						arm-unknown-elf
armle						armle-unknown-none
arm-linux-androideabi				arm-unknown-linux-androideabi
arm-mingw32ce					arm-unknown-mingw32ce
arm-pikeos					arm-unknown-eabi
arm-riscos					arm-unknown-riscos
arm-sysgo-pikeos				arm-sysgo-eabi
arm-tirtos					arm-unknown-tirtos
arm-unknown-netbsdelf7.0			arm-unknown-netbsdelf7.0
arm-unknown-none-eabi				arm-unknown-none-eabi
arm-unknown-riscos				arm-unknown-riscos
armv2						armv2-unknown-none
armv3l						armv3l-unknown-none
armv6-cloudabi-eabihf				armv6-unknown-cloudabi-eabihf
armv6eb-unknown-netbsdelf7.0			armv6eb-unknown-netbsdelf7.0
armv6eb-unknown-netbsdelf7.0-eabi		armv6eb-unknown-netbsdelf7.0-eabi
armv6eb-unknown-netbsdelf7.0-eabihf		armv6eb-unknown-netbsdelf7.0-eabihf
armv6-linux-gnu					armv6-unknown-linux-gnu
armv6m						armv6m-unknown-none
armv6-unknown-netbsdelf7.0			armv6-unknown-netbsdelf7.0
armv6-unknown-netbsdelf7.0-eabi			armv6-unknown-netbsdelf7.0-eabi
armv6-unknown-netbsdelf7.0-eabihf		armv6-unknown-netbsdelf7.0-eabihf
armv6-unknown-none-eabi				armv6-unknown-none-eabi
armv7a						armv7a-unknown-none
armv7a-linux-gnueabi				armv7a-unknown-linux-gnueabi
armv7-apple-ios					armv7-apple-ios
armv7eb-unknown-netbsdelf7.0			armv7eb-unknown-netbsdelf7.0
armv7eb-unknown-netbsdelf7.0-eabi		armv7eb-unknown-netbsdelf7.0-eabi
armv7eb-unknown-netbsdelf7.0-eabihf		armv7eb-unknown-netbsdelf7.0-eabihf
armv7m						armv7m-unknown-none
armv7m-unknown-none-eabi				armv7m-unknown-none-eabi
armv7r						armv7r-unknown-none
armv7-unknown-netbsdelf7.0			armv7-unknown-netbsdelf7.0
armv7-unknown-netbsdelf7.0-eabi			armv7-unknown-netbsdelf7.0-eabi
armv7-unknown-netbsdelf7.0-eabihf		armv7-unknown-netbsdelf7.0-eabihf
armv8a						armv8a-unknown-none
armv8b-linux-gnueabi				armv8b-unknown-linux-gnueabi
armv8m						armv8m-unknown-none
armv8r						armv8r-unknown-none
aros						i386-pc-aros
asmjs						asmjs-unknown-none
avr32						avr32-unknown-none
avr32-linux					avr32-unknown-linux-gnu
avr						avr-unknown-none
ba						ba-unknown-none
ba-elf						ba-unknown-elf
ba-linux					ba-unknown-linux-gnu
be32						be32-unknown-none
be32-none					be32-unknown-none
be64						be64-unknown-none
be64-none					be64-unknown-none
bfin						bfin-unknown-none
bfin-elf					bfin-unknown-elf
blackfin					bfin-unknown-linux-gnu
c4x						c4x-unknown-coff
c54x-coff					tic54x-unknown-coff
c54x-none-coff					tic54x-none-coff
c54x						tic54x-unknown-coff
c54x-unknown-coff				tic54x-unknown-coff
c55x-coff					tic55x-unknown-coff
c55x-none-coff					tic55x-none-coff
c55x						tic55x-unknown-coff
c55x-unknown-coff				tic55x-unknown-coff
c6x-coff					tic6x-unknown-coff
c6x-elf						tic6x-unknown-elf
c6x-none-coff					tic6x-none-coff
c6x-none-elf					tic6x-none-elf
c6x						tic6x-unknown-coff
c6x-uclinux					tic6x-unknown-uclinux
c6x-unknown-coff				tic6x-unknown-coff
c6x-unknown-elf					tic6x-unknown-elf
c8051						c8051-unknown-elf
c8051-elf					c8051-unknown-elf
cegcc						arm-unknown-cegcc
clipper						clipper-unknown-none
clipper-clix					clipper-intergraph-clix
cr16-elf					cr16-unknown-elf
cr16-random-elf					cr16-unknown-elf
crds						m68k-crds-unos
cris-linux					cris-axis-linux-gnu
crisv32-linux					crisv32-axis-linux-gnu
craynv						craynv-cray-unicosmp
csky-linux					csky-unknown-linux-gnu
cydra						cydra-cydrome-none
d10v						d10v-unknown-none
d30v						d30v-unknown-none
da30						m68k-da30-none
dec3100						mips-dec-ultrix4.2
decstation					mips-dec-ultrix4.2
decstation-3100					mips-dec-ultrix4.2
decstatn					mips-dec-ultrix4.2
dicos						i686-pc-dicos
djgpp						i586-pc-msdosdjgpp
dlx						dlx-unknown-none
dsp16xx						dsp16xx-unknown-none
e2k						e2k-unknown-none
e2k-linux					e2k-unknown-linux-gnu
e500v1-elf					powerpc-unknown-elfspe
e500v2-elf					powerpc-unknown-elfspe
e500v2-vxworksae				powerpc-wrs-vxworksaespe
e500v2-wrs-linux				powerpc-wrs-linux-gnuspe
e500v2-wrs-vxworks				powerpc-wrs-vxworksspe
epiphany-elf					epiphany-unknown-elf
epiphany					epiphany-unknown-none
es1800						m68k-ericsson-ose
fido-elf					fido-unknown-elf
fido						fido-unknown-none
fr30						fr30-unknown-none
frv						frv-unknown-none
frv-linux					frv-unknown-linux-gnu
ft32-elf					ft32-unknown-elf
ft32						ft32-unknown-none
fx80						fx80-alliant-none
h8300						h8300-unknown-none
h8500						h8500-unknown-none
hcs12z						s12z-unknown-none
hexagon						hexagon-unknown-elf
hexagon-linux					hexagon-unknown-linux-gnu
hppa1.0						hppa1.0-unknown-none
hppa2.0						hppa2.0-unknown-none
hppa2.0n					hppa2.0n-unknown-none
hppa64						hppa64-unknown-none
hppa						hppa-unknown-none
hppa-next					hppa-next-nextstep
i370						i370-ibm-mvs
i370-opened					i370-ibm-openedition
i386-386bsd					i386-pc-bsd
i386-aros					i386-pc-aros
i386-bitrig					i386-pc-bitrig
i386-bsd					i386-pc-bsd
i386-cloudabi					i386-pc-cloudabi
i386-drops1.0					i386-pc-drops1.0
i386-elf					i386-pc-elf
i386-es						i386-pc-es
i386-freebsd					i386-pc-freebsd
i386-glidix					i386-pc-glidix
i386-haiku					i386-pc-haiku
i386-isc					i386-pc-isc2.2
i386-libertybsd					i386-pc-libertybsd
i386-linux					i386-pc-linux-gnu
i386-linux-musl					i386-pc-linux-musl
i386-linux-newlib				i386-pc-linux-newlib
i386-midipix					i386-pc-midipix
i386-mingw32					i386-pc-mingw32
i386-msys					i386-pc-msys
i386-netbsd					i386-pc-netbsd
i386-openbsd					i386-pc-openbsd
i386-os2					i386-pc-os2
i386-pc-nacl					i386-pc-nacl
i386-pc-sco4					i386-pc-sco3.2v4
i386-pc-sco5					i386-pc-sco3.2v5
i386-pc-sco5v6					i386-pc-sco5v6
i386-pc-sco6					i386-pc-sco5v6
i386-pc-sco					i386-pc-sco3.2v2
i386-phoenix					i386-pc-phoenix
i386-plan9					i386-pc-plan9
i386-solidbsd					i386-pc-solidbsd
i386-sortix					i386-pc-sortix
i386-udk					i386-pc-udk
i386-vsta					i386-pc-vsta
i386-windows					i386-pc-windows
i386-xenix					i386-pc-xenix
i486-elf					i486-pc-elf
i586-auroraux5.0				i586-pc-auroraux5.0
i586-auroraux					i586-pc-auroraux
i586-elf					i586-pc-elf
i586-rdos					i586-pc-rdos
i586-skyos					i586-pc-skyos
i686-android-linux				i686-unknown-linux-android
i686-dicos					i686-pc-dicos
i686-elf					i686-pc-elf
i686-ericsson-dicos				i686-ericsson-dicos
i686-haiku					i686-pc-haiku
i686-kopensolaris5.11-gnu			i686-pc-kopensolaris5.11-gnu
i786-elf					i786-pc-elf
i860						i860-unknown-sysv
i960						i960-unknown-none
ia16						ia16-unknown-none
ia64						ia64-unknown-none
ibm						i370-ibm-aix
ip2k						ip2k-unknown-none
iq2000						iq2000-unknown-none
k1om						k1om-unknown-none
k1om-linux					k1om-unknown-linux-gnu
le32						le32-unknown-none
le32-nacl					le32-unknown-nacl
le64						le64-unknown-none
le64-none					le64-unknown-none
leon3-elf					sparc-leon3-elf
leon3-vxworks					sparc-leon3-vxworks
leon-elf					sparc-leon-elf
leon-wrs-vxworks				sparc-leon-vxworks
lm32-elf					lm32-unknown-elf
lm32						lm32-unknown-none
m32c-elf					m32c-unknown-elf
m32c						m32c-unknown-none
m32rle						m32rle-unknown-none
m32r						m32r-unknown-none
m68000						m68000-unknown-none
m68hcs12z					s12z-unknown-none
m68k-es1800					m68k-unknown-ose
m68k						m68k-unknown-none
m68k-mint					m68k-atari-mint
m68knommu					m68k-unknown-linux-gnu
m88k						m88k-unknown-none
m88k-omron					m88k-omron-luna
m9s12z						s12z-unknown-none
maxq-elf					maxq-unknown-elf
maxq						maxq-unknown-none
mb-elf						mb-unknown-elf
mb						mb-unknown-none
mcore						mcore-unknown-none
mep-elf						mep-unknown-elf
mep						mep-unknown-elf
metag-linux					metag-unknown-linux-gnu
metag						metag-unknown-none
microblazeel-elf				microblazeel-unknown-elf
microblaze-elf					microblaze-unknown-elf
microblazeel-linux				microblazeel-unknown-linux-gnu
microblazeel					microblazeel-unknown-none
microblaze-linux				microblaze-unknown-linux-gnu
microblaze					microblaze-unknown-none
mingw32ce					arm-unknown-mingw32ce
mingw32						i686-pc-mingw32
mingw64						x86_64-pc-mingw64
mips16						mips16-unknown-elf
mips64el					mips64el-unknown-elf
mips64						mips64-unknown-elf
mips64octeonel-elf				mips64octeonel-unknown-elf
mips64octeon-elf				mips64octeon-unknown-elf
mips64octeonel					mips64octeonel-unknown-elf
mips64octeon					mips64octeon-unknown-elf
mips64orionel					mips64orionel-unknown-elf
mips64orion					mips64orion-unknown-elf
mips64r5900el-elf				mips64r5900el-unknown-elf
mips64r5900-elf					mips64r5900-unknown-elf
mips64r5900el					mips64r5900el-unknown-elf
mips64r5900					mips64r5900-unknown-elf
mips64vr4100el					mips64vr4100el-unknown-elf
mips64vr4100					mips64vr4100-unknown-elf
mips64vr4300el					mips64vr4300el-unknown-elf
mips64vr4300					mips64vr4300-unknown-elf
mips64vr5000el					mips64vr5000el-unknown-elf
mips64vr5000					mips64vr5000-unknown-elf
